what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269535620621
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1269535620621
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1269535620636
os,sysinfo,,,"win32",1269535620636
arch,sysinfo,,,"x86",1269535620636
ws,sysinfo,,,"win32",1269535620636
locale,sysinfo,,,"fr_FR",1269535620636
processors,sysinfo,,,"2",1269535620636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269535620636
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1269535620636
java.specification.name,sysinfo,,,"Java Platform API Specification",1269535620636
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269535620636
java.specification.version,sysinfo,,,"1.6",1269535620636
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269535620636
java.version,sysinfo,,,"1.6.0_14",1269535620636
java.vm.info,sysinfo,,,"mixed mode, sharing",1269535620636
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269535620636
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269535620636
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269535620636
java.vm.specification.version,sysinfo,,,"1.0",1269535620636
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269535620636
java.vm.version,sysinfo,,,"14.0-b16",1269535620636
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1269535621089
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.artifact.repository",1269535622010
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1269535622134
